winner,loser,winnerscore,loserscore,date,bo3
Imperial,Cruzeiro,2,0,1650770700.0,True
9z,Imperial,2,1,1650753000.0,True
Imperial,Party Astronauts,2,1,1649858400.0,True
MIBR,Imperial,2,1,1649781000.0,True
Imperial,Case,16,6,1649713500.0,False
Imperial,Sao Caetano,16,12,1649691600.0,False
Imperial,Falcons,2,0,1648400400.0,True
Imperial,MASONIC,2,1,1648317600.0,True
SAW,Imperial,16,10,1648249200.0,False
Imperial,MOUZ NXT,16,4,1648240200.0,False
Imperial,OFFSET,16,4,1648231200.0,False
Sharks,Imperial,2,1,1647223800.0,True
Imperial,9z,2,0,1647137400.0,True
Imperial,Isurus,16,3,1647064200.0,False
MIBR,Complexity,2,0,1651273200.0,True
Complexity,GODSENT,2,1,1650859200.0,True
Liquid,Complexity,2,0,1650843000.0,True
Complexity,GODSENT,2,1,1650756600.0,True
Complexity,Carpe Diem,2,0,1650675600.0,True
Complexity,Sao Caetano,2,0,1649872800.0,True
FURIA,Complexity,2,0,1649794800.0,True
Complexity,00NATION,16,5,1649718600.0,False
Complexity,TeamOne,16,8,1649697600.0,False
Complexity,Evil Geniuses,2,1,1648926000.0,True
Natus Vincere,Complexity,2,0,1648852200.0,True
AGO,Complexity,2,1,1648740600.0,True
Heroic,Complexity,2,0,1648668300.0,True
Complexity,Liquid,16,14,1647078000.0,False
Complexity,Bad News Bears,16,4,1647067500.0,False
paiN,Liquid,2,1,1651284000.0,True
Liquid,Evil Geniuses,2,1,1650688200.0,True
Liquid,Gaimin Gladiators,2,0,1650663000.0,True
Liquid,Evil Geniuses,2,0,1649879400.0,True
Liquid,paiN,16,1,1649777100.0,False
Liquid,TeamOne,16,3,1649719500.0,False
00NATION,Liquid,16,8,1649702100.0,False
NIP,Liquid,2,1,1649368800.0,True
Liquid,Heroic,2,0,1649286900.0,True
Players,Liquid,2,0,1648420200.0,True
Liquid,Party Astronauts,2,0,1648325400.0,True
Movistar Riders,Liquid,2,1,1648238400.0,True
Liquid,GODSENT,2,0,1648164600.0,True
Liquid,BIG,2,0,1648079100.0,True
paiN,MIBR,2,0,1651366800.0,True
MIBR,9z,2,0,1650770700.0,True
MIBR,Cruzeiro,2,1,1650753000.0,True
FURIA,MIBR,2,0,1649944800.0,True
MIBR,paiN,25,23,1649721600.0,False
MIBR,9z,16,13,1649703000.0,False
MIBR,Carpe Diem,3,1,1649048400.0,False
MIBR,paiN,2,0,1648789200.0,True
MIBR,Carpe Diem,2,0,1648702800.0,True
MIBR,Orgless,2,0,1648616400.0,True
MIBR,paiN,2,0,1648446900.0,True
MIBR,Orgless,2,0,1648432800.0,True
MIBR,Gaimin Gladiators,16,10,1648359900.0,False
9z,ex-Black Dragons,2,0,1650594600.0,True
9z,SWS,16,7,1650589200.0,False
9z,ARCTIC,16,13,1650516600.0,False
9z,Redragon,16,9,1650511500.0,False
9z,paiN,2,0,1650047400.0,True
9z,Evil Geniuses,2,1,1650031200.0,True
9z,Sao Caetano,2,0,1649944800.0,True
9z,00NATION,2,1,1649858400.0,True
9z,Bad News Bears,2,0,1649780400.0,True
Evil Geniuses,9z,16,5,1649723100.0,False
9z,Leviatan,16,13,1647043800.0,False
IHC,Renegades,2,0,1650117600.0,True
IHC,TYLOO,2,0,1650031200.0,True
TYLOO,IHC,2,0,1648918800.0,True
IHC,TheMongolz,2,0,1648832400.0,True
IHC,NKT,2,0,1648746000.0,True
TYLOO,IHC,2,1,1648659600.0,True
IHC,CatEvil,2,0,1648573200.0,True
NKT,IHC,2,0,1648313400.0,True
IHC,D13,2,0,1648302300.0,True
IHC,NEXGA,16,13,1647871200.0,False
IHC,The Shine,16,11,1647860400.0,False
Renegades,VERTEX,3,0,1651406400.0,False
Renegades,VERTEX,2,0,1651233600.0,True
Renegades,DGG,2,0,1651147200.0,True
Renegades,Antic,2,0,1651060800.0,True
Renegades,ORDER,2,1,1647864000.0,True
Renegades,8Ballers,2,0,1647259200.0,True
Renegades,domilk,2,0,1646312400.0,True
Aftershock,Renegades,16,7,1650470400.0,False
Renegades,PoP,16,1,1650468300.0,False
Renegades,TYLOO,2,0,1650128400.0,True
Renegades,Looking For Org,2,0,1650041400.0,True
Renegades,Paradox,2,0,1646568900.0,True
Renegades,ORDER,16,8,1646556000.0,False
Renegades,Paradox,16,14,1646551500.0,False
Renegades,FREE THE MANDEM,16,5,1646546700.0,False
Heroic,NKT,2,0,1651099500.0,True
Heroic,Natus Vincere,2,1,1650302100.0,True
Heroic,fnatic,16,9,1650226500.0,False
Natus Vincere,Heroic,2,0,1649025000.0,True
Heroic,AGO,2,0,1648913400.0,True
Heroic,Evil Geniuses,2,0,1648839600.0,True
Heroic,Copenhagen Flames,2,0,1647468000.0,True
Heroic,ECSTATIC,2,0,1647446400.0,True
Heroic,Apeks,2,0,1647370800.0,True
FaZe,Heroic,2,0,1645920000.0,True
Heroic,Virtus.pro,2,0,1645392000.0,True
MOUZ,BIG,2,0,1651701600.0,True
Entropiq,BIG,2,1,1651685400.0,True
BIG,MOUZ,2,1,1651599000.0,True
