winner,loser,winnerscore,loserscore,date,bo3
EC Brugge,LowLandLions,3,1,1649970000.0,False
EC Brugge,Genk,2,0,1649369100.0,True
LowLandLions,EC Brugge,2,1,1648760400.0,True
ALTERNATE aTTaX,EC Brugge,2,0,1648491000.0,True
Lilmix,EC Brugge,2,0,1647982800.0,True
AVANGAR,EC Brugge,2,0,1648424100.0,True
EC Brugge,LF0,2,0,1648411200.0,True
Sprout,EC Brugge,16,6,1648255500.0,False
Apeks,EC Brugge,16,8,1648242600.0,False
GamerLegion,EC Brugge,2,0,1646920800.0,True
EC Brugge,Young Ninjas,2,1,1646834400.0,True
ECLOT,EC Brugge,2,0,1646748000.0,True
ex-Project Eversio,TheDice,2,1,1651327800.0,True
Genk,Sector One,2,1,1648773000.0,True
FWRD,Sector One,2,1,1590850800.0,True
FWRD,Sector One,2,0,1590444300.0,True
Game Fist,Sector One,2,1,1575127800.0,True
Defusekids,Sector One,16,13,1569705900.0,False
Defusekids,Sector One,2,0,1559775600.0,True
mCon,Sector One,2,1,1529862900.0,True
Defusekids,Sector One,2,0,1527448500.0,True
E-Corp,Sector One,2,1,1486953900.0,True
Sector One,MAXISAUCISSE,16,10,1486946400.0,False
E-Corp,Sector One,2,1,1486932300.0,True
Preparation,Sector One,2,0,1477680000.0,True
Sector One,Wyvern,2,1,1477666800.0,True
Kinguin,Sector One,16,2,1477657800.0,False
SINNERS,ECSTATIC,2,0,1652307300.0,True
Entropiq,SINNERS,2,0,1652220000.0,True
SINNERS,ECSTATIC,2,1,1651701600.0,True
SKADE,SINNERS,2,0,1651680900.0,True
K23,SINNERS,2,1,1651595100.0,True
GamerLegion,SINNERS,2,1,1651421700.0,True
SINNERS,Wisla Krakow,2,1,1651237200.0,True
Bad News Eagles,SINNERS,2,1,1650801600.0,True
NIP,SINNERS,2,0,1650730800.0,True
SINNERS,Spirit,16,6,1650640500.0,False
Copenhagen Flames,SINNERS,16,9,1650577500.0,False
SINNERS,HEET,16,11,1650555000.0,False
SINNERS,FAMBIT,2,0,1649458800.0,True
Copenhagen Flames,SINNERS,2,0,1649286000.0,True
SINNERS,1shot,2,1,1649199600.0,True
SINNERS,FAMBIT,2,0,1649109600.0,True
ECSTATIC,ECLOT,2,0,1651690800.0,True
BLUEJAYS,ECLOT,2,1,1651345200.0,True
K23,ECLOT,2,1,1651172400.0,True
ECLOT,Savage,2,1,1650924000.0,True
ECLOT,Falcons,16,12,1650918600.0,False
Enterprise,ECLOT,2,0,1648846800.0,True
ECLOT,Entropiq Prague,2,0,1648672800.0,True
Apeks,ECLOT,16,9,1648666800.0,False
FAMBIT,ECLOT,2,1,1648598400.0,True
Sangal,ECLOT,2,1,1648494300.0,True
ECLOT,4glory,2,1,1648155600.0,True
ECLOT,Entropiq Prague,2,0,1648069200.0,True
GamerLegion,ECLOT,2,0,1647018600.0,True
ECLOT,Into the Breach,2,0,1646931600.0,True
Wisla Krakow,ECLOT,2,1,1646857800.0,True
Enterprise,eSuba,2,1,1649007000.0,True
Apeks,eSuba,2,0,1648920600.0,True
eSuba,Sampi,2,0,1648834200.0,True
eSuba,Budapest Five,2,0,1648758600.0,True
SINNERS,eSuba,16,6,1648753200.0,False
Tricked,eSuba,2,0,1646920800.0,True
Endpoint,eSuba,2,1,1646866800.0,True
eSuba,Into the Breach,2,1,1646758800.0,True
GamerLegion,eSuba,2,0,1646694000.0,True
eSuba,Ambush,2,0,1646413200.0,True
ECLOT,eSuba,2,0,1646338200.0,True
Young Ninjas,eSuba,2,1,1646262600.0,True
eSuba,Sampi,2,1,1646175900.0,True
eSuba,Into the Breach,2,1,1646056800.0,True
UNGENTIUM,eSuba,2,1,1644415200.0,True
Savage,eSuba,2,0,1644328800.0,True
Enterprise,Entropiq Prague,16,8,1648661400.0,False
FAMBIT,Entropiq Prague,2,1,1648335600.0,True
UNGENTIUM,Entropiq Prague,2,1,1646229600.0,True
1shot,Entropiq Prague,2,0,1646143200.0,True
Ambush,Entropiq Prague,2,0,1646078400.0,True
Anonymo,Entropiq Prague,2,0,1644710400.0,True
Entropiq Prague,cowana,2,0,1644256800.0,True
forZe,Entropiq Prague,2,0,1643060700.0,True
Entropiq Prague,B8,2,0,1642799100.0,True
Entropiq Prague,ex-Feenix,2,0,1642552200.0,True
1shot,Entropiq Prague,2,1,1639272600.0,True
Entropiq Prague,fnatic Rising,2,0,1639186200.0,True
Entropiq Prague,Run or Die,2,1,1639099800.0,True
Entropiq Prague,ESCA,2,1,1639013400.0,True
ENCE,Heroic,2,1,1651260600.0,True
Heroic,NKT,2,0,1651099500.0,True
Heroic,Natus Vincere,2,1,1650302100.0,True
Heroic,fnatic,16,9,1650226500.0,False
Heroic,forZe,16,9,1650207000.0,False
Natus Vincere,Heroic,2,0,1649025000.0,True
Heroic,AGO,2,0,1648913400.0,True
Heroic,Astralis,2,1,1648753800.0,True
Heroic,Complexity,2,0,1648668300.0,True
Heroic,Copenhagen Flames,2,0,1647468000.0,True
Heroic,ECSTATIC,2,0,1647446400.0,True
Heroic,Apeks,2,0,1647370800.0,True
FaZe,Heroic,2,0,1645920000.0,True
Heroic,Virtus.pro,2,0,1645392000.0,True
Spirit,Astralis,2,0,1652281200.0,True
Vitality,Astralis,16,8,1652142000.0,False
Astralis,IHC,16,2,1652115900.0,False
ENCE,Astralis,2,1,1651444200.0,True
Astralis,NIP,2,0,1651347000.0,True
Astralis,Movistar Riders,2,0,1651174200.0,True
Astralis,HEET,2,1,1650814200.0,True
G2,Astralis,2,1,1650740100.0,True
Players,Astralis,2,1,1650643800.0,True
Astralis,ENCE,16,11,1650582000.0,False
Astralis,ASG,16,5,1650559500.0,False
Astralis,Entropiq,2,1,1649269800.0,True
MOUZ,Copenhagen Flames,2,0,1651685400.0,True
Copenhagen Flames,Apeks,2,1,1651615200.0,True
Entropiq,Copenhagen Flames,2,1,1651530600.0,True
Copenhagen Flames,EC Kyiv,2,1,1651505400.0,True
ENCE,Copenhagen Flames,2,1,1651087800.0,True
Copenhagen Flames,NIP,2,0,1650657300.0,True
Copenhagen Flames,Sprout,16,11,1650562800.0,False
Copenhagen Flames,Apeks,2,1,1649975700.0,True
Copenhagen Flames,1WIN,16,11,1649970000.0,False
Copenhagen Flames,Looking For Org,16,9,1649904000.0,False
EC Kyiv,Copenhagen Flames,2,1,1649808600.0,True
Copenhagen Flames,PGE Turow,16,10,1649802600.0,False
Copenhagen Flames,Eternal Fire,16,12,1649797200.0,False
Copenhagen Flames,Sangal,2,0,1649199600.0,True
ECSTATIC,Finest,2,1,1652220000.0,True
ECSTATIC,MASONIC,2,1,1651852800.0,True
Wisla Krakow,ECSTATIC,2,1,1651530600.0,True
ECSTATIC,SKADE,2,1,1651358400.0,True
Finest,ECSTATIC,2,0,1651150800.0,True
MASONIC,ECSTATIC,2,1,1650805800.0,True
ECSTATIC,Los Reyes,2,0,1650756000.0,True
Astralis Talent,ECSTATIC,2,1,1650740400.0,True
ECSTATIC,AGF,2,0,1650726000.0,True
Endpoint,ECSTATIC,16,9,1649901300.0,False
HEET,ECSTATIC,2,1,1648764000.0,True
ECSTATIC,Entropiq,2,1,1648677600.0,True
Falcons,ECSTATIC,2,1,1648591200.0,True
MASONIC,BLUEJAYS,2,1,1651669200.0,True
Apeks,MASONIC,2,1,1651410000.0,True
MASONIC,AGO,2,1,1651264200.0,True
MASONIC,ALTERNATE aTTaX,2,0,1650988800.0,True
MASONIC,HAVU,16,11,1650983400.0,False
Astralis Talent,MASONIC,2,1,1651435200.0,True
MASONIC,Tricked,2,0,1651424700.0,True
MASONIC,00Prospects,2,1,1651350900.0,True
MASONIC,Young Ninjas,2,0,1651276500.0,True
Astralis Talent,MASONIC,2,1,1651176000.0,True
MASONIC,Bitfix,2,0,1650909600.0,True
Astralis Talent,MASONIC,2,0,1650821400.0,True
MASONIC,Tricked,2,0,1650740400.0,True
Astralis Talent,Tricked,2,1,1651338000.0,True
Tricked,00Prospects,2,1,1651188600.0,True
Tricked,9INE Academy,2,0,1650920400.0,True
PACT,Tricked,2,1,1651071600.0,True
Savage,Tricked,2,0,1650978000.0,True
Finest,Tricked,2,0,1650902400.0,True
Tricked,ONYX,16,10,1650891600.0,False
Atlantic,Tricked,2,1,1650755400.0,True
Tricked,Atlantic,2,1,1650726000.0,True
BIG,Tricked,19,17,1649902200.0,False
Tricked,Into the Breach,2,1,1649355000.0,True
Tricked,Anonymo,2,1,1648674000.0,True
Los Reyes,Tricked,2,1,1649101800.0,True
SKADE,Tricked,2,0,1648580400.0,True
Astralis Talent,Metizport,2,0,1651003200.0,True
Astralis Talent,Atlantic,2,1,1650805200.0,True
Astralis Talent,Los Reyes,2,1,1650726000.0,True
Enterprise,Astralis Talent,2,1,1649343600.0,True
KOVA,Astralis Talent,2,0,1648576800.0,True
MASONIC,Astralis Talent,2,0,1647975600.0,True
MASONIC,Astralis Talent,2,0,1649094600.0,True
Astralis Talent,DREAM,2,0,1649080800.0,True
MAD Lions,Astralis Talent,2,0,1647277200.0,True
Astralis Talent,AGO,16,14,1647266400.0,False
Wisla Krakow,Astralis Talent,2,0,1647028800.0,True
Los Reyes,AGF,2,1,1650740400.0,True
Los Reyes,MASONIC,2,1,1649606400.0,True
Los Reyes,Linx Legacy,2,0,1649088000.0,True
DREAM,Los Reyes,2,1,1645996500.0,True
Los Reyes,CEPTER,2,0,1645989000.0,True
fnatic,Los Reyes,16,11,1645650000.0,False
Budapest Five,Los Reyes,2,0,1644267600.0,True
1WIN,Los Reyes,2,0,1643036400.0,True
Los Reyes,PACT,2,0,1642885200.0,True
Los Reyes,Unique,2,0,1642442400.0,True
Atlantic,Lonnies drenge,2,0,1650740400.0,True
DREAM,AGF,2,0,1647468000.0,True
AGF,Fjerritslev Gymnasium,2,0,1647381900.0,True
DREAM,AGF,2,0,1647306000.0,True
AGF,Looking For Org,2,0,1644534000.0,True
Sprout,AGF,2,1,1644450900.0,True
ECSTATIC,AGF,2,1,1643324400.0,True
AGF,Entropiq,2,0,1642460400.0,True
AGF,Nexus,2,1,1639069200.0,True
Finest,AGF,2,1,1638921600.0,True
AGF,INDE IRAE,2,1,1638388800.0,True
AGF,hREDS,2,0,1637697600.0,True
Tricked,AGF,2,0,1638651600.0,True
Eternal Fire,AGF,19,17,1638416700.0,False
Nexus,AGF,2,1,1637762400.0,True
Copenhagen Flames fe,proxy,2,1,1650839400.0,True
Dignitas fe,Copenhagen Flames fe,2,0,1562436900.0,True
Copenhagen Flames fe,Orange.Sphynx,2,0,1562421600.0,True
Demise fe,Copenhagen Flames fe,16,12,1562343600.0,False
MASONIC,Fjerritslev Gymnasium,2,1,1647295500.0,True
Fjerritslev Gymnasium,GAARDEN,2,0,1636840200.0,True
Vitality,forZe,2,1,1652205600.0,True
Vitality,MOUZ,2,1,1650456000.0,True
Natus Vincere,Vitality,2,0,1650388500.0,True
Vitality,Eternal Fire,16,11,1650294000.0,False
FaZe,Vitality,16,14,1650221700.0,False
Vitality,Dignitas,16,6,1650211500.0,False
SKADE,Vitality,2,0,1648495200.0,True
Vitality,Outsiders,2,0,1647820800.0,True
FaZe,Vitality,2,0,1647737100.0,True
ENCE,Vitality,2,0,1647534600.0,True
Vitality,Sprout,2,0,1647448200.0,True
Gambit,Vitality,2,0,1645317000.0,True
Heroic,Vitality,2,0,1645218000.0,True
Falcons,HEET,2,1,1651269600.0,True
HEET,Exalty,2,0,1651186800.0,True
HEET,Entropiq,2,0,1650722400.0,True
ENCE,HEET,16,8,1650639900.0,False
HEET,Sprout,16,5,1650576900.0,False
HEET,1WIN,3,2,1649023200.0,False
HEET,SAW,2,1,1648936800.0,True
HEET,Wisla Krakow,2,1,1648850400.0,True
1WIN,HEET,2,0,1648677600.0,True
HEET,Wisla Krakow,2,0,1648591200.0,True
Apeks,HEET,2,0,1648396800.0,True
HEET,fnatic,19,16,1648345800.0,False
HEET,PACT,16,6,1648342200.0,False
Falcons,LDLC,2,0,1651178100.0,True
Wisla Krakow,Falcons,2,1,1648764000.0,True
SAW,Falcons,2,1,1648677600.0,True
Falcons,SAW,2,0,1648332900.0,True
MASONIC,Falcons,16,12,1648162800.0,False
Falcons,FTW,16,7,1648158900.0,False
Falcons,00NATION,16,5,1648144800.0,False
HEET,Falcons,2,1,1647381900.0,True
Falcons,Ambush,2,1,1647291600.0,True
POGGERZ,Falcons,2,1,1630174200.0,True
Falcons,Alpha,2,0,1630080600.0,True
Falcons,vSlash,16,14,1630005000.0,False
Ambush,FTW,2,1,1648332000.0,True
Ambush,HONORIS,2,1,1646316000.0,True
ECLOT,Ambush,2,1,1646251500.0,True
ALTERNATE aTTaX,Ambush,2,0,1646165700.0,True
Anonymo,Ambush,2,0,1644418800.0,True
Nexus,Ambush,2,1,1642604400.0,True
FTW,Ambush,2,0,1641778800.0,True
Ambush,GameAgents,2,1,1641764100.0,True
Ambush,FTW,16,1,1641605400.0,False
Ambush,Exalty,16,11,1641584100.0,False
eXploit,Ambush,2,1,1639353900.0,True
Ambush,VELOX,2,1,1639267800.0,True
Enterprise,Ambush,2,0,1638651600.0,True
HEET,LDLC,2,0,1647304800.0,True
LDLC,Exalty,2,0,1647208800.0,True
LDLC,GenOne,2,0,1647187200.0,True
Into the Breach,LDLC,2,0,1639944000.0,True
LDLC,Nemiga,2,1,1639861200.0,True
SAW,LDLC,2,0,1639785600.0,True
LDLC,PACT,2,0,1639689300.0,True
LDLC,Anonymo,2,1,1639515900.0,True
Nemiga,LDLC,2,0,1638918000.0,True
SAW,LDLC,2,0,1638831600.0,True
Sprout,LDLC,2,0,1638561900.0,True
Movistar Riders,LDLC,2,0,1638399600.0,True
BLINK,LDLC,2,1,1638316800.0,True
GODSENT,LDLC,2,1,1638061200.0,True
LDLC,Eternal Fire,2,0,1637968200.0,True
Exalty,Shmetaland,2,0,1647198000.0,True
FTW,Exalty,2,0,1641690000.0,True
Exalty,Infinite,2,1,1641669000.0,True
Clutch Rayn,Exalty,2,0,1610220000.0,True
Game Fist,Exalty,16,14,1610148600.0,False
Izako Boars,Exalty,2,0,1545599400.0,True
Endpoint,Exalty,2,0,1545516600.0,True
MOUZ,BIG,2,0,1651701600.0,True
Entropiq,BIG,2,1,1651685400.0,True
BIG,MOUZ,2,1,1651599000.0,True
BIG,Apeks,2,0,1651518000.0,True
BIG,FaZe,2,0,1650315900.0,True
BIG,Outsiders,16,8,1650233700.0,False
BIG,SAW,16,5,1650215400.0,False
BIG,Endpoint,2,0,1649975700.0,True
BIG,BLUEJAYS,16,8,1649970000.0,False
Movistar Riders,BIG,2,0,1648312200.0,True
Players,BIG,2,0,1648225800.0,True
BIG,Party Astronauts,2,0,1648154400.0,True
Liquid,BIG,2,0,1648079100.0,True
BIG,SAW,16,8,1646448600.0,False
Sprout,cowana,2,0,1651361400.0,True
cowana,NLG,2,1,1651341600.0,True
BLUEJAYS,cowana,16,10,1649900700.0,False
cowana,SSP,2,1,1649631600.0,True
cowana,ALTERNATE aTTaX,2,0,1649541000.0,True
cowana,SSP,2,0,1649466900.0,True
cowana,BIG Academy,2,1,1649361600.0,True
cowana,ALTERNATE aTTaX,2,0,1649110500.0,True
Sprout,cowana,2,0,1647187200.0,True
NLG,cowana,2,1,1647115200.0,True
cowana,Entropy,2,0,1647045600.0,True
OG,cowana,16,3,1645650000.0,False
PACT,cowana,2,1,1642539600.0,True
BLUEJAYS,cowana,2,0,1639004400.0,True
HONORIS,cowana,2,0,1638840600.0,True
BIG Academy,KOVA,2,1,1649886600.0,True
BIG Academy,00Prospects,2,0,1649181600.0,True
Hellslayers,BIG Academy,2,0,1648663200.0,True
BIG Academy,Enterprise,2,1,1648072800.0,True
BIG Academy,SSP,2,0,1649102400.0,True
4glory,BIG Academy,2,0,1647298800.0,True
BIG Academy,Coalesce,16,7,1647288000.0,False
ALTERNATE aTTaX,BIG Academy,2,1,1646586000.0,True
Unique,BIG Academy,2,0,1645282200.0,True
BIG Academy,GamerLegion,2,1,1645109400.0,True
BIG Academy,Enterprise,2,0,1644162600.0,True
MOUZ NXT,BIG Academy,2,0,1644795000.0,True
BIG Academy,Astralis Talent,2,0,1644782400.0,True
MOUZ NXT,BIG Academy,2,0,1644707400.0,True
BIG Academy,Spirit Academy,2,1,1644609600.0,True
LowLandLions,ALTERNATE aTTaX,3,0,1651942800.0,False
ALTERNATE aTTaX,EC Kyiv,16,14,1650978000.0,False
SSP,ALTERNATE aTTaX,2,0,1649613600.0,True
ALTERNATE aTTaX,Entropy,2,1,1649452200.0,True
AVE,ALTERNATE aTTaX,2,1,1648594800.0,True
ALTERNATE aTTaX,4glory,2,1,1648422000.0,True
FAMBIT,ALTERNATE aTTaX,2,0,1647993600.0,True
Into the Breach,ALTERNATE aTTaX,2,1,1646834400.0,True
UNGENTIUM,ALTERNATE aTTaX,2,1,1646748000.0,True
Apeks,ALTERNATE aTTaX,2,0,1646694000.0,True
NLG,ALTERNATE aTTaX,2,1,1646613600.0,True
EC Kyiv,NLG,19,17,1649797200.0,False
Sprout,NLG,2,0,1649373900.0,True
NLG,00Prospects,2,1,1648947600.0,True
NLG,Heaven and Hell,2,1,1648923000.0,True
Singularity,NLG,2,1,1648324800.0,True
Conquer,NLG,2,0,1648076400.0,True
Sprout,NLG,2,0,1647213000.0,True
NLG,Sangal,2,1,1647198000.0,True
NLG,Berzerk,2,1,1647032400.0,True
NLG,EPIC DUDES,2,1,1646599500.0,True
SINNERS,NLG,16,12,1646256300.0,False
Enterprise,NLG,2,1,1643579100.0,True
REZIST,NLG,2,1,1637431200.0,True
SSP,Entropy,2,1,1649528400.0,True
00Prospects,SSP,2,1,1648935300.0,True
CCO,SSP,2,0,1637352000.0,True
Sprout,SSP,2,0,1637180400.0,True
SSP,TTC,2,0,1637012100.0,True
REZIST,SSP,2,1,1635553800.0,True
Finest,SSP,16,5,1633488000.0,False
ECLOT,SSP,2,0,1632510000.0,True
Budapest Five,SSP,2,1,1632423600.0,True
SSP,Dark Tigers,2,0,1632175200.0,True
NLG,SSP,2,1,1621022400.0,True
GORILLAZ,SSP,16,3,1618443000.0,False
PENTA,Entropy,2,0,1615928400.0,True
TTC,Entropy,2,0,1615757400.0,True
passions,Entropy,16,14,1472408100.0,False
X,Entropy,16,10,1471212900.0,False
Entropy,LGR,16,6,1471209000.0,False
Entropy,ALTERNATE aTTaX,16,12,1471204200.0,False
Entropy,finshhh,16,11,1471199400.0,False
mixbanan,Entropy,16,13,1470597000.0,False
Entropy,TBD-PL,16,12,1470593100.0,False
BLUEJAYS,777,2,0,1650913200.0,True
AVANGAR,777,2,0,1650808800.0,True
Finest,777,16,5,1650897000.0,False
777,Hellslayers,2,1,1649369700.0,True
777,MASONIC,2,1,1648746000.0,True
777,KOVA,2,0,1648062000.0,True
DREAM,777,16,8,1647635400.0,False
KOVA,777,16,7,1647624600.0,False
KOVA,777,2,0,1647363600.0,True
777,PACT,16,7,1647352800.0,False
1shot,777,16,5,1646427900.0,False
1WIN,777,2,0,1645203600.0,True
777,Enterprise,2,1,1645106400.0,True
777,MAD Lions,2,0,1645020000.0,True
forZe,777,2,0,1644944400.0,True
K23,777,2,0,1644847200.0,True
00Prospects,Bitfix,2,1,1651263000.0,True
00Prospects,Young Ninjas,2,0,1651014000.0,True
MAD Lions,00Prospects,2,1,1649948400.0,True
00Prospects,Anonymo,2,1,1649700000.0,True
00Prospects,Savage,2,1,1648490400.0,True
Young Ninjas,00Prospects,2,0,1648159200.0,True
00Prospects,Apeks Rebels,2,0,1647211800.0,True
00Prospects,Apeks Rebels,2,0,1647126300.0,True
00Prospects,BIOS,2,0,1647050400.0,True
777,00Prospects,2,0,1637454600.0,True
00Prospects,Apeks Rebels,2,1,1637437500.0,True
Oilers,VOID,2,0,1649628000.0,True
Oilers,FOXED,2,0,1649541600.0,True
Oilers,Way2Game,2,0,1649527200.0,True
AVE,Oilers,2,1,1634130000.0,True
BLINK,Oilers,2,0,1631624400.0,True
SAW Youngsters,Oilers,2,0,1631055600.0,True
Apeks,Oilers,2,0,1630364400.0,True
Oilers,DUSTY,2,1,1629759600.0,True
777,Oilers,2,1,1629230400.0,True
OPAA,Oilers,16,2,1630804800.0,False
Oilers,Apeks Rebels,2,1,1628460300.0,True
Oilers,FOXED,2,0,1628434800.0,True
Apeks,Oilers,2,0,1619301600.0,True
Oilers,777,2,1,1619218800.0,True
777,Oilers,2,0,1616187600.0,True
Apeks,Oilers,2,0,1607187600.0,True
Bitfix,Metizport,2,0,1651089600.0,True
VOID,Bitfix,2,1,1649527200.0,True
Apeks Rebels,Bitfix,2,0,1636840800.0,True
Movistar Riders,Bitfix,2,0,1555615800.0,True
LPSP,Bitfix,2,1,1522355400.0,True
VOID,Datakrigerne,2,1,1649541600.0,True
Bad News Eagles,VOID,16,4,1646256300.0,False
FOXED,Metizport,2,1,1649527200.0,True
777,FOXED,2,0,1637427600.0,True
Apeks,FOXED,2,0,1616097900.0,True
UNGENTIUM,Apeks Rebels,16,2,1647374400.0,False
Apeks Rebels,BIOS,2,1,1647198000.0,True
Apeks Rebels,Midgard,2,0,1647039600.0,True
Strife,Apeks Rebels,2,0,1646644500.0,True
Apeks Rebels,ATK,2,0,1646632200.0,True
Apeks Rebels,Touch Point,2,0,1646616300.0,True
Apeks Rebels,Carpe Diem,2,1,1646529000.0,True
Apeks Rebels,Big Chillin,2,0,1646517300.0,True
Apeks Rebels,Apeks Legends,2,0,1646430600.0,True
GMT,Apeks Rebels,2,0,1644613200.0,True
Apeks Rebels,AVE,2,0,1644332400.0,True
ex-Coalesce,Apeks Rebels,2,1,1642617300.0,True
GORILLAZ,Apeks Rebels,2,0,1639094700.0,True
Datakrigerne,Vanir,2,0,1649527200.0,True
Galaxy Racer fe,GODSENT fe,2,0,1651357800.0,True
Galaxy Racer fe,GODSENT fe,2,0,1646003100.0,True
SKADE,AGO,2,0,1651842000.0,True
K23,AGO,2,1,1651755600.0,True
AGO,BLUEJAYS,2,1,1651520400.0,True
AGO,4glory,2,0,1651323600.0,True
EC Kyiv,AGO,2,1,1650826800.0,True
AGO,HONORIS,2,1,1650658200.0,True
AGO,Enterprise,2,1,1650632400.0,True
Astralis,AGO,2,0,1648827000.0,True
AGO,Complexity,2,1,1648740600.0,True
Natus Vincere,AGO,2,0,1648654200.0,True
1shot,AGO,2,1,1644883200.0,True
Finest,AGO,2,0,1644274800.0,True
Wisla Krakow,Anonymo,2,0,1651950000.0,True
Anonymo,Forsaken,2,0,1651863600.0,True
Spirit,Anonymo,2,1,1650801600.0,True
ENCE,Anonymo,2,0,1650722400.0,True
Anonymo,Entropiq,16,14,1650636000.0,False
Players,Anonymo,16,10,1650568800.0,False
Anonymo,G2,19,16,1650549600.0,False
KOVA,Anonymo,2,0,1649268000.0,True
forZe,Anonymo,2,1,1648510200.0,True
Anonymo,Conquer,2,0,1648404000.0,True
ONYX,Anonymo,2,1,1647995400.0,True
GamerLegion,Anonymo,2,1,1648216800.0,True
Copenhagen Flames,Anonymo,2,0,1648152000.0,True
4glory,Anonymo,2,0,1647981000.0,True
Illuminar,Wisla Krakow,2,0,1652036400.0,True
Finest,Wisla Krakow,2,1,1651863900.0,True
1WIN,Wisla Krakow,2,0,1651615200.0,True
Movistar Riders,Wisla Krakow,2,0,1651096800.0,True
Wisla Krakow,1WIN,2,1,1651010400.0,True
Nemiga,Wisla Krakow,2,0,1650826800.0,True
SKADE,Wisla Krakow,16,6,1649797200.0,False
Wisla Krakow,Finest,2,1,1648677600.0,True
Illuminar,HONORIS,2,0,1651962600.0,True
Illuminar,PACT,2,1,1651342500.0,True
Illuminar,HONORIS,2,0,1651246200.0,True
Illuminar,Into the Breach,2,0,1651162200.0,True
Illuminar,UNGENTIUM,2,1,1650578400.0,True
UNGENTIUM,Illuminar,2,0,1650459600.0,True
INDE IRAE,Illuminar,16,14,1649797200.0,False
UNGENTIUM,Illuminar,16,8,1647992100.0,False
Illuminar,ThunderFlash,16,4,1647988500.0,False
AVE,Illuminar,2,0,1647213300.0,True
Illuminar,Enterprise,2,0,1647201900.0,True
1shot,Illuminar,16,14,1646445600.0,False
Unique,Illuminar,2,1,1646432100.0,True
Illuminar,fnatic,16,13,1646427900.0,False
SKADE,MOUZ NXT,2,0,1648418400.0,True
MOUZ NXT,Finest,2,0,1648144500.0,True
MOUZ NXT,GamerLegion,2,0,1647957600.0,True
BLUEJAYS,MOUZ NXT,2,1,1647795600.0,True
MOUZ NXT,Into the Breach,2,0,1647633600.0,True
OFFSET,MOUZ NXT,19,15,1648253700.0,False
Imperial,MOUZ NXT,16,4,1648240200.0,False
SAW,MOUZ NXT,16,6,1648235700.0,False
UNGENTIUM,MOUZ NXT,2,1,1647284400.0,True
MOUZ NXT,Apeks,2,0,1646870700.0,True
MOUZ NXT,Wisla Krakow,2,0,1646782800.0,True
MOUZ NXT,Astralis Talent,2,0,1646672400.0,True
MOUZ NXT,Astralis Talent,2,1,1644623400.0,True
Wisla Krakow,MOUZ NXT,2,1,1643670900.0,True
Nexus,UNGENTIUM,2,0,1650481200.0,True
ouroboros,UNGENTIUM,2,1,1649617200.0,True
ENCE,UNGENTIUM,2,0,1648407600.0,True
UNGENTIUM,Sprout,16,14,1648258800.0,False
Apeks,UNGENTIUM,16,13,1648251000.0,False
UNGENTIUM,Sprout,16,14,1648245600.0,False
UNGENTIUM,ESCA,16,4,1647997200.0,False
Young Ninjas,UNGENTIUM,2,0,1647385200.0,True
ECSTATIC,UNGENTIUM,2,0,1647360000.0,True
UNGENTIUM,Tricked,2,1,1647007200.0,True
Endpoint,UNGENTIUM,2,0,1646931600.0,True
HONORIS,PACT,2,1,1651876200.0,True
PACT,BLUEJAYS,2,1,1651257000.0,True
PACT,Nexus,2,1,1651172400.0,True
PACT,Savage,2,1,1651087800.0,True
Into the Breach,PACT,2,1,1650988800.0,True
ENCE,PACT,16,10,1648328400.0,False
EC Kyiv,PACT,2,0,1644624000.0,True
PACT,Conquer,2,0,1644279000.0,True
UNGENTIUM,PACT,2,0,1644501600.0,True
Unique,PACT,2,1,1644445800.0,True
1WIN,PACT,2,1,1644363300.0,True
PACT,Looking For Org,2,0,1644244200.0,True
PGE Turow,Finest,16,13,1649797200.0,False
Illuminar,PGE Turow,2,0,1622079000.0,True
Pompa,PGE Turow,2,0,1615752900.0,True
PGE Turow,M1,16,6,1615672500.0,False
PGE Turow,Izako Boars,16,14,1615662000.0,False
PACT,PGE Turow,2,0,1604696400.0,True
BLUEJAYS,HONORIS,2,1,1651330800.0,True
HONORIS,AVANGAR,2,1,1651150800.0,True
HONORIS,4glory,2,1,1650740400.0,True
HONORIS,4glory,2,1,1650646200.0,True
Into the Breach,HONORIS,2,1,1646240400.0,True
HONORIS,Nexus,2,0,1646156400.0,True
Astralis Talent,HONORIS,2,0,1646067900.0,True
1shot,HONORIS,2,0,1644688800.0,True
HONORIS,Nexus,2,1,1644505200.0,True
PACT,HONORIS,2,0,1639268100.0,True
HONORIS,BLUEJAYS,2,1,1639177200.0,True
ESCA,Forsaken,16,12,1647993300.0,False
ESCA,Impression,16,14,1647987600.0,False
MAD Lions,ESCA,2,0,1638840600.0,True
HONORIS,ESCA,2,0,1637971200.0,True
PACT,ESCA,2,0,1635620400.0,True
ESCA,TPT,2,0,1635534300.0,True
Wisla Krakow,ESCA,2,1,1620428400.0,True
Forsaken,Wisla Krakow,16,13,1647987600.0,False
Nigma Galaxy,NAVI Javelins,2,0,1652047200.0,True
equipa,NAVI Javelins,2,1,1651444200.0,True
OneTap,Levadia,2,0,1647966300.0,True
OneTap,Infinite,2,0,1647943200.0,True
OneTap,Levadia,16,13,1647888300.0,False
OneTap,Imported Talent,16,14,1647876300.0,False
OneTap,Infinite,16,3,1647870300.0,False
ONYX,OneTap,16,5,1647647100.0,False
