name,hltv,winstreak,win%last3months,worldranking,weekstop30,averageplayerage
Natus Vincere,798,2,80.0,2,154,22.7
Cloud9,531,0,None,4,96,22.3
Entropiq,152,5,52.0,16,66,23.2
forZe,90,0,66.7,22,56,21.9
Spirit,88,2,77.3,23,49,20.7
K23,67,2,71.4,31,32,21.0
1WIN,46,2,60.0,38,7,24.2
ASG,29,0,20.0,50,0,24.0
QUAZAR,12,0,33.3,92,0,20.8
1shot,11,1,52.2,98,0,21.1
INDE IRAE,11,2,50.0,99,0,24.0
Nigma Galaxy,4,1,100.0,172,0,24.7
Looking For Org,18,2,33.3,72,0,24.0
NewBALLS,2,0,0.0,198,0,20.3
LF0,2,0,0.0,205,0,22.6
proxy,1,0,0.0,245,0,20.8
EC Kyiv,26,0,58.3,58,0,21.7
Run or Die,19,0,63.6,70,12,23.9
BOOMSHAKE,5,0,50.0,150,0
TYLOO,24,0,75.0,59,26,24.1
Rare Atom,17,4,73.3,75,9,25.6
YK,6,0,42.9,143,0,25.5
CatEvil,5,0,33.3,153,0
Invictus,4,0,42.9,163,0,24.5
Wings Up,4,0,42.9,168,0
LV.NEW,1,1,50.0,236,0
DHLG,0,0,0.0,253,0,26.5
IHC,31,0,60.0,49,0,21.8
TheMongolz,9,0,42.9,116,5,25.5
The Shine,6,0,50.0,142,0,19.8
Born in Mongolia,1,0,0.0,244,0,21.5
Renegades,33,0,66.7,48,33,24.8
VERTEX,13,1,64.0,88,0,23.6
Aftershock,8,0,50.0,121,0,26.2
DGG,7,0,60.0,130,0,21.3
Paradox,7,0,66.7,131,0,20.8
Antic,6,0,50.0,144,0,23.8
PoP,4,0,40.0,164,0
CAMO,3,0,25.0,179,0
Kanga,3,0,16.7,182,0,23.5
ex-FURY,2,0,20.0,201,0
Hysteria,2,0,0.0,211,0,20.0
DeadWeight,2,0,33.3,215,0
Bandits,1,0,50.0,227,0,25.0
Collateral,1,0,0.0,231,0,24.2
FaZe,882,1,81.0,1,63,25.2
ENCE,542,1,69.2,3,60,24.8
G2,442,6,68.4,6,65,24.7
Outsiders,319,2,57.1,10,212,22.7
MOUZ,132,3,58.3,17,63,21.7
OG,110,0,53.8,18,57
fnatic,109,0,46.7,19,34,24.3
Bad News Eagles,85,1,69.6,26,14,24.6
SKADE,83,3,60.0,28,50,24.3
9z,75,0,58.3,29,6,22.1
Eternal Fire,75,0,56.4,30,18,23.2
